,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
33,33,dauphin,51.1494,-100.0502,73.54,60,0,4.61,CA,1686622448
43,43,saint-philippe,-21.3585,55.7679,71.19,75,0,3.83,RE,1686622449
63,63,cabo san lucas,22.8909,-109.9124,86.31,39,0,5.75,MX,1686622297
81,81,red chute,32.556,-93.6132,77.99,74,0,3.44,US,1686622456
88,88,hawaiian paradise park,19.5933,-154.9731,83.71,71,0,1.01,US,1686622197
92,92,watford city,47.8022,-103.2832,75.15,60,0,3.44,US,1686622458
97,97,vilyuchinsk,52.9306,158.4028,75.47,46,0,3.49,RU,1686622458
174,174,acworth,34.0659,-84.6769,71.42,82,0,0.0,US,1686622445
175,175,san sebastian de la gomera,28.0916,-17.1133,71.96,83,0,2.3,ES,1686622469
237,237,shitanjing,39.2342,106.3439,72.97,17,0,4.92,CN,1686622477
268,268,hilo,19.7297,-155.09,83.93,64,0,7.0,US,1686622483
285,285,petropavlovsk-kamchatsky,53.0452,158.6483,73.99,33,0,6.71,RU,1686622485
290,290,miracema do tocantins,-9.5618,-48.3967,76.8,52,0,1.28,BR,1686622486
316,316,miles city,46.4083,-105.8406,76.17,38,0,6.91,US,1686622489
337,337,xinzhou,38.4092,112.7333,76.82,29,0,7.7,CN,1686622492
353,353,al kharijah,25.4514,30.5464,85.55,26,0,3.24,EG,1686622309
360,360,duba,27.3513,35.6901,83.34,55,0,3.47,SA,1686622495
395,395,cape canaveral,28.4058,-80.6048,85.01,78,0,9.22,US,1686622500
405,405,waddan,29.1614,16.139,72.37,56,0,5.1,LY,1686622502
416,416,riachao das neves,-11.7461,-44.91,70.34,50,0,2.13,BR,1686622504
426,426,glendive,47.1053,-104.7125,73.02,49,0,4.61,US,1686622506
435,435,changji,44.0167,87.3167,77.79,47,0,2.24,CN,1686622507
448,448,santarem,-2.4431,-54.7083,78.93,94,0,0.0,BR,1686622435
452,452,la'ie,21.6477,-157.9253,87.76,69,0,5.99,US,1686622510
473,473,sauk rapids,45.5919,-94.1661,71.42,43,0,3.44,US,1686622379
499,499,arar,30.9753,41.0381,78.82,25,0,8.05,SA,1686622517
502,502,dryden,49.7833,-92.7503,70.09,43,0,3.44,CA,1686622518
546,546,sao joao do piaui,-8.3581,-42.2467,72.41,71,0,4.23,BR,1686622524
